Horodateur,De quel streamer as-tu suivi la saison en majorité ?,"1 - Héros de la saison

Un joueur reconnu pour son intégrité et son honneur, bien qu'il soit prêt à quelques mensonges pour gagner. Il veut porter la saison vers le haut.","2 - Vilain de la saison

Un joueur prêt à tout pour gagner, même les manigances les plus maléfiques. Mensonges, trahisons et manipulation sont ses mots fétiches.","3 - Best Prémerge

Une personne qui a été éliminé en pre-merge (de 11ème à 18ème) qui vous a particulièrement marquée, que ça soit par son jeu ou juste par simple fait que vous l'appréciez beaucoup !","4 - Mérite de revenir

Le joueur qui devrait ABSOLUMENT avoir une seconde chance car il n'a pas eu le temps de montrer tout ce qu'il avait dans le ventre ou alors que vous l'avez juste adoré et que vous voulez revoir ses prouesses.","5 - Surprise de la saison

Le joueur qui vous a le plus surpris. Au début de la saison, vous vous dites que X n'allait pas faire grand chose/n'allait pas tenir longtemps, et au final, il a accompli bien plus que vous le pensiez !","6 - Best Stratège

Celui qui a fait le plus de stratégies, aussi bien de façon ouverte que dans le dos des gens. Il veut contrôler son destin à 100%, mais aussi celui des autres ...","7 - Best Social

Celui qui a réussi à nouer de nombreuses relations avec les personnes sur le campement. Il veut peut-être avoir beaucoup d'alliances, ou peut tout justement bien s'entendre avec tout le monde par son enthousiasme !","8 - Best Conseil

Quel a été le meilleur conseil de la saison, le plus marquant ? Celui qui a été éliminé à ce conseil emporte cet award ... c'est un bon compromis, non ?","9 - Challenge Beast

Qui est le joueur ayant le plus dominé sur les épreuves lors de la saison ?","10 - Best alliance

Quelle était la meilleure alliance (au moins 3 personnes)
Il y a différentes propositions, mais vous êtes libres d'ajouter une autre alliance, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]/[Pseudo3]/...","11 - Best Rivalité

2 personnes qui ne peuvent pas se saquer ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante :
[Pseudo1]/[Pseudo2])","12 - Best Duo

Le duo qui a marqué la saison ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]","13 - Best Avantage Play

Quel avantage a été le mieux joué selon vous, et a le plus retourné le jeu en la faveur de la personne ?","14 - Worst Avantage Play

A contrario, quel avantage a été le moins bien joué dans la saison ?","15 - Best move

Quel move (pas forcément avec un avantage) a été réalisé cette saison et que vous avez préféré ?","16 - Fan Favorite

Quel a été le joueur que vous avez globalement adoré, peu importe les critères.
LE joueur parmi les joueurs !","17 - Meme de la saison

Le meme de la saison. Une chose drôle à laquelle on pense DIRECTEMENT quand on parle de la S21 !",Si vous devriez mettre une note à la saison ...,(Si vous voulez mettre un petit commentaire sur la saison)
22/03/2025 19:03:21,Mathox,6 - Flannou,11 - Laupok,12 - Kao,? - Mathox,5 - Lvcyd,? - Mathox,? - Anaee,6 - Flannou,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Mathox qui construit son Harem,19/20,
22/03/2025 19:03:24,Jimmy,8 - Jimmy,11 - Laupok,15 - Martin (Ponk),15 - Martin (Ponk),11 - Laupok,? - Mathox,? - Mathox,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Jimmy,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),8 - Jimmy,Julgane qui a passé sa vie à random.org au lieu de créer du content,19/20,
22/03/2025 19:03:28,Commu Survisland,? - Julgane,11 - Laupok,16 - Sundae,7 - Guill,6 - Flannou,? - Mathox,? - Julgane,7 - Guill,? - Mathox,Laupok/Flannou/Jimmy,Flannou/Guill,Anaee/Julgane,Lvcyd joue son extra-vote sur Jimmy (F10),Flannou joue son idol (F8),Laupok fait un gros blindside sur Ponk (F15),7 - Guill,,,
22/03/2025 22:45:33,Guill,7 - Guill,? - Mathox,15 - Martin (Ponk),18 - Cizayoxy,? - Humility,? - Mathox,5 - Lvcyd,8 - Jimmy,6 - Flannou,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),Laupok fait un gros blindside sur Ponk (F15),8 - Jimmy,Les Hwasan développent une addiction aux croissants,14/20,
22/03/2025 19:03:43,Jimmy,8 - Jimmy,6 - Flannou,15 - Martin (Ponk),8 - Jimmy,8 - Jimmy,8 - Jimmy,8 - Jimmy,10 - DemaZelle,7 - Guill,,Flannou/Jimmy,Guill/Jimmy,,Ponk ne joue pas son idol (F15),Jimmy joue son idol sur lui-même (F10),8 - Jimmy,Les verts ont tout perdu,13/20,
22/03/2025 19:04:04,Guill,8 - Jimmy,11 - Laupok,12 - Kao,? - Mathox,5 - Lvcyd,6 - Flannou,? - Julgane,9 - Clem (ThatDanmGirl),? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Lvcyd qui vole tout sur les épreuves,18/20,
22/03/2025 19:04:04,Jimmy,? - Mathox,6 - Flannou,13 - Lapin,13 - Lapin,11 - Laupok,7 - Guill,? - Mathox,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Lvcyd/Flannou,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",8 - Jimmy,Les verts ont tout perdu,20/20,
22/03/2025 19:04:09,Guill,? - Humility,? - Mathox,16 - Sundae,16 - Sundae,6 - Flannou,7 - Guill,? - Mathox,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,Mathox/Flannou,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F8),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Lvcyd qui vole tout sur les épreuves,17/20,"bravo le staff vous avez été magnifique. la saison a été incroyable on a bien rigolé, meme si c'est dommage que les epreuves soient trop orienté joueur casu."
22/03/2025 19:04:10,Jimmy,11 - Laupok,6 - Flannou,15 - Martin (Ponk),18 - Cizayoxy,? - Julgane,? - Mathox,5 - Lvcyd,8 - Jimmy,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",8 - Jimmy,Lvcyd qui vole tout sur les épreuves,14/20,
22/03/2025 19:04:10,Julgane,11 - Laupok,? - Mathox,15 - Martin (Ponk),18 - Cizayoxy,? - Anaee,? - Mathox,? - Humility,7 - Guill,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Laupok/Gomart,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Julgane,Les verts ont tout perdu,14/20,
22/03/2025 19:04:11,Jimmy,8 - Jimmy,8 - Jimmy,15 - Martin (Ponk),8 - Jimmy,8 - Jimmy,8 - Jimmy,8 - Jimmy,8 - Jimmy,8 - Jimmy,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),8 - Jimmy,Les Hwasan développent une addiction aux croissants,15/20,
22/03/2025 19:23:23,Commu Survisland,5 - Lvcyd,11 - Laupok,15 - Martin (Ponk),15 - Martin (Ponk),? - Mathox,? - Mathox,5 - Lvcyd,7 - Guill,? - Mathox,Mathox/Kao/Clem/Lucyd,Laupok/Martin,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Mathox qui construit son Harem,14/20,
22/03/2025 19:04:35,Guill,7 - Guill,? - Mathox,15 - Martin (Ponk),8 - Jimmy,? - Julgane,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Mathox qui construit son Harem,18/20,"Une incroyable découverte pour ma part, ayant suivit pas mal de point vu j'ai adoré suivre les différentes stratégie des alliances ! Les épreuves de vrai banger, j'ai si hâte d'avoir une prochaine saison ! Merci à l'équipe du staff et orga pour cette pépite ! "
22/03/2025 19:04:39,Commu Survisland,? - Humility,15 - Martin (Ponk),17 - Gomart,11 - Laupok,? - Anaee,? - Mathox,? - Humility,6 - Flannou,? - Mathox,Anaee/Julgane/Humility,Flannou/Jimmy,Humility/Guill,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Anaee,Anaee et ses schémas de stratégies,16/20,
22/03/2025 19:04:40,Guill,? - Mathox,6 - Flannou,17 - Gomart,17 - Gomart,? - Anaee,7 - Guill,5 - Lvcyd,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Laupok/Gomart,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),17 - Gomart,Lvcyd qui vole tout sur les épreuves,18/20,
22/03/2025 19:04:44,Guill,? - Humility,? - Mathox,12 - Kao,11 - Laupok,5 - Lvcyd,7 - Guill,? - Julgane,7 - Guill,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Humility,Kao et ses vannes sur tout (notamment les champignons),16/20,"Franchement, c'est un event super cool. Des fois un peu dûr à suivre quand ça fait un bout qu'on regarde plus les lives, mais ça reste super chouette à regarder, surtout que c'est pas juste des bons joueurs MC non plus"
22/03/2025 19:04:48,Guill,11 - Laupok,11 - Laupok,12 - Kao,15 - Martin (Ponk),? - Humility,7 - Guill,? - Humility,16 - Sundae,8 - Jimmy,Mathox/Kao/Clem/Lucyd,Flannou/Jimmy,Laupok/Gomart,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",12 - Kao,Kao et ses vannes sur tout (notamment les champignons),17/20,
22/03/2025 19:04:48,Mathox,5 - Lvcyd,? - Mathox,12 - Kao,12 - Kao,5 - Lvcyd,? - Mathox,5 - Lvcyd,6 - Flannou,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Guill,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Lvcyd qui vole tout sur les épreuves,17/20,
22/03/2025 19:04:54,Guill,? - Humility,? - Mathox,15 - Martin (Ponk),18 - Cizayoxy,11 - Laupok,? - Mathox,? - Humility,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,,15/20,
22/03/2025 22:02:45,Guill,? - Mathox,11 - Laupok,15 - Martin (Ponk),7 - Guill,11 - Laupok,? - Mathox,? - Humility,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,les vanne de laupok ,20/20,saison banger hate d'avoir la 2
22/03/2025 19:04:58,Guill,? - Julgane,? - Mathox,15 - Martin (Ponk),11 - Laupok,? - Humility,? - Mathox,5 - Lvcyd,11 - Laupok,? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Mathox/Lvcyd,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Julgane qui a passé sa vie à random.org au lieu de créer du content,20/20,
22/03/2025 19:05:03,Guill,? - Humility,6 - Flannou,14 - Chloe,14 - Chloe,? - Humility,? - Mathox,7 - Guill,8 - Jimmy,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",10 - DemaZelle,Lvcyd qui vole tout sur les épreuves,18/20,Il y avait tros de collier d’immunité 
22/03/2025 19:05:10,Guill,? - Mathox,? - Mathox,15 - Martin (Ponk),15 - Martin (Ponk),? - Humility,7 - Guill,? - Humility,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),7 - Guill,Mathox qui construit son Harem,13/20,
22/03/2025 19:05:11,Guill,11 - Laupok,? - Mathox,15 - Martin (Ponk),11 - Laupok,? - Julgane,? - Mathox,? - Humility,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Anaee/Julgane,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Julgane qui a passé sa vie à random.org au lieu de créer du content,16/20,
22/03/2025 19:05:15,Mathox,5 - Lvcyd,11 - Laupok,15 - Martin (Ponk),15 - Martin (Ponk),? - Humility,? - Mathox,5 - Lvcyd,7 - Guill,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Jimmy,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Kao et ses vannes sur tout (notamment les champignons),16/20,
22/03/2025 19:05:22,Jimmy,? - Humility,11 - Laupok,14 - Chloe,18 - Cizayoxy,? - Humility,? - Mathox,? - Mathox,9 - Clem (ThatDanmGirl),? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Jimmy,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),8 - Jimmy,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,
22/03/2025 19:05:24,Jimmy,8 - Jimmy,6 - Flannou,15 - Martin (Ponk),13 - Lapin,5 - Lvcyd,11 - Laupok,? - Mathox,8 - Jimmy,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Lvcyd/Flannou,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),8 - Jimmy,Lvcyd qui vole tout sur les épreuves,15/20,Des récompenses trop souvent les mêmes mais c'était incroyable a suivre
22/03/2025 19:05:30,Jimmy,8 - Jimmy,? - Mathox,13 - Lapin,8 - Jimmy,6 - Flannou,? - Mathox,? - Julgane,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,,,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",8 - Jimmy,Les Hwasan développent une addiction aux croissants,16/20,
22/03/2025 19:05:41,Guill,? - Humility,? - Mathox,15 - Martin (Ponk),12 - Kao,18 - Cizayoxy,? - Julgane,? - Anaee,7 - Guill,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Humility,Kao et ses vannes sur tout (notamment les champignons),18/20,
22/03/2025 19:05:42,Guill,5 - Lvcyd,7 - Guill,15 - Martin (Ponk),18 - Cizayoxy,11 - Laupok,7 - Guill,6 - Flannou,16 - Sundae,? - Mathox,Mathox/Kao/Clem/Lucyd,Sundae / Guill,Guill/Jimmy,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Sundae qui menace Guill xD,8 - Jimmy,Les verts ont tout perdu,18/20,
22/03/2025 19:05:42,Guill,? - Humility,15 - Martin (Ponk),17 - Gomart,? - Mathox,? - Julgane,? - Mathox,? - Julgane,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Lvcyd qui vole tout sur les épreuves,16/20,
22/03/2025 19:05:45,Guill,7 - Guill,? - Mathox,17 - Gomart,7 - Guill,? - Humility,? - Mathox,? - Humility,7 - Guill,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",7 - Guill,Lvcyd qui vole tout sur les épreuves,18/20,Génial mais j’ai trouvé que les épreuves n’étaient pas équitables entre les joueurs minecraft et les joueurs non minecraft. Vous avez fait un travail de dingue BRAVO
22/03/2025 19:05:50,Jimmy,7 - Guill,6 - Flannou,16 - Sundae,8 - Jimmy,11 - Laupok,? - Mathox,? - Julgane,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F8),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",8 - Jimmy,Julgane qui a passé sa vie à random.org au lieu de créer du content,18/20,
22/03/2025 19:05:55,Mathox,7 - Guill,? - Mathox,13 - Lapin,15 - Martin (Ponk),? - Humility,7 - Guill,6 - Flannou,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Mathox,Lvcyd qui vole tout sur les épreuves,14/20,"La saison était vraiment agréable à regarder en globalité, c'est ce que j'attendais en regardant un jeu de stratégie néanmoins quelques hic peuvent être mentionnés, des épreuves parfois un peu redondantes même si les orgas ont fait un taff incroyable, et d'un pdv viewers les réactions de certains participant qui ont peut-être pris trop le jeu à cœur, j'imagine que c'est facile à dire d'un pdv extérieur mais j'ai trouvé dommage la diabolisation de l'aspect stratégie/trahison/mensonge dans un jeu où le but principal est d'en appliquer... pour citer quelques exemples, les event où certains décidait de random plutôt que de se mouiller était ennuyant à regarder, les réactions face à certaines stratégies... à titre personnel j'avoue être un peu plus déçu sur la fin de la saison qui est scellée sans vraiment de rebondissement possible depuis le départ de guill avec seulement un scénario de deux équipes et plus de stratégies (+1 pour Mathox pour avoir essayer jusqu'au bout quand même). Pour conclure, la passivité de certains ont peut être rendu une partie de la saison un peu plus fade, néanmoins la saison était vraiment bonne et réussie et on a ressenti à travers les participants des émotions de pression et d'angoisse et c'était vraiment plaisant de voir un jeu comme celui là sur ces dernières semaines ! "
22/03/2025 19:06:08,Guill,? - Mathox,12 - Kao,15 - Martin (Ponk),13 - Lapin,6 - Flannou,? - Mathox,11 - Laupok,11 - Laupok,13 - Lapin,Guill/Lvcyd/Mathox/Humility,Laupok/Martin,Guill/Laupok,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Mathox,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,"Bravo, super intéressant !"
22/03/2025 19:06:20,Guill,? - Mathox,6 - Flannou,15 - Martin (Ponk),7 - Guill,5 - Lvcyd,7 - Guill,? - Humility,8 - Jimmy,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Les verts ont tout perdu,19/20,guill dois le refaire 
22/03/2025 19:06:30,Guill,7 - Guill,15 - Martin (Ponk),14 - Chloe,11 - Laupok,11 - Laupok,7 - Guill,7 - Guill,,7 - Guill,Guill/Lvcyd/Mathox/Humility,Laupok/Martin,Guill/Laupok,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,je veux plus d'event comme ça !!
22/03/2025 19:06:37,Guill,? - Mathox,6 - Flannou,15 - Martin (Ponk),7 - Guill,? - Julgane,7 - Guill,7 - Guill,7 - Guill,7 - Guill,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),7 - Guill,L'idol jaune qui s'est faite marchée dessus pendant 5 épisodes,16/20,incroyable 
22/03/2025 19:06:40,Julgane,11 - Laupok,15 - Martin (Ponk),15 - Martin (Ponk),11 - Laupok,? - Humility,? - Mathox,? - Julgane,6 - Flannou,? - Mathox,Laupok/Flannou/Jimmy,Laupok/Martin,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),? - Julgane,Les Hwasan développent une addiction aux croissants,18/20,
22/03/2025 19:06:41,Commu Survisland,? - Humility,15 - Martin (Ponk),12 - Kao,10 - DemaZelle,? - Anaee,? - Mathox,? - Humility,6 - Flannou,? - Mathox,Anaee/Julgane/Humility,Flannou/Jimmy,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Anaee,Anaee et ses schémas de stratégies,12/20,"Saison mémorable, chacun a réussi à apporter cette petite dose de fun qui a rendu la saison si spéciale. On sent que tous le monde a pris du plaisir du début à la fin et qu'il vont tous en garder un très bon souvenir !"
22/03/2025 19:06:43,Guill,11 - Laupok,15 - Martin (Ponk),17 - Gomart,18 - Cizayoxy,5 - Lvcyd,7 - Guill,? - Anaee,15 - Martin (Ponk),? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Kao et ses vannes sur tout (notamment les champignons),17/20,"Je découvre Survivor et c'est vraiment cool, gg continuez!"
22/03/2025 19:06:44,Guill,? - Mathox,6 - Flannou,15 - Martin (Ponk),7 - Guill,11 - Laupok,11 - Laupok,? - Humility,11 - Laupok,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),7 - Guill,Julgane qui a passé sa vie à random.org au lieu de créer du content,14/20,Trop de colliers dommage ...
22/03/2025 19:06:49,Mathox,? - Mathox,? - Mathox,12 - Kao,15 - Martin (Ponk),6 - Flannou,? - Mathox,? - Julgane,16 - Sundae,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Jimmy,Mathox/Kao,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Lvcyd qui vole tout sur les épreuves,18/20,
22/03/2025 22:56:25,Guill,7 - Guill,? - Mathox,15 - Martin (Ponk),15 - Martin (Ponk),? - Anaee,7 - Guill,? - Humility,7 - Guill,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Guill,Anaee/Julgane,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Julgane,Lvcyd qui vole tout sur les épreuves,18/20,Hâte de la prochaine saison streamer !
22/03/2025 19:07:03,Jimmy,7 - Guill,11 - Laupok,17 - Gomart,13 - Lapin,? - Julgane,6 - Flannou,5 - Lvcyd,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),8 - Jimmy,Julgane qui a passé sa vie à random.org au lieu de créer du content,18/20,
22/03/2025 19:07:04,Guill,? - Anaee,? - Mathox,16 - Sundae,7 - Guill,? - Humility,7 - Guill,? - Anaee,5 - Lvcyd,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Anaee/Julgane,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",7 - Guill,Lvcyd qui vole tout sur les épreuves,20/20,
22/03/2025 19:07:11,Mathox,? - Mathox,? - Anaee,12 - Kao,13 - Lapin,? - Anaee,? - Mathox,? - Julgane,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),5 - Lvcyd,Lvcyd qui vole tout sur les épreuves,19/20,"La saison est incroyable. Au début, j'avais peur que les relations prennent le dessus, mais les groupes se sont plutôt bien mélangés, ce qui a permis des retournements de situation. Le seul petit point négatif serait effectivement les colliers : quand une personne ne l’utilise pas, je pense qu’il ne faudrait pas le remettre en jeu. Mais sinon, à part cela, tous les streams de tout le monde ont été incroyables à suivre."
22/03/2025 19:07:22,Jimmy,7 - Guill,15 - Martin (Ponk),15 - Martin (Ponk),8 - Jimmy,11 - Laupok,6 - Flannou,? - Mathox,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",8 - Jimmy,Les Hwasan développent une addiction aux croissants,16/20,
